gene	nectophore_developing	gastrozooid_mature	palpon_mature	gastrozooid_developing	palpon_developing	gonodendron_female_mature	pneumatophore_mature	gonodendron_male_mature
ANN00001-RA	0	0	0	0	0	0	0	0
ANN00002-RA	0	17.5885225734262	0	0	0	0	0	0
ANN00003-RA	0	0	0	0	0	1.50585731423512	0	0
ANN00004-RA	0	0	0	0	0	0.647049894766515	0.743710307715011	0
ANN00005-RA	4.36977023854456	0	0.884481032593673	0.51027754573816	0.832556106694392	1.21370648075256	3.30178895525004	0
ANN00006-RA	288.448572856011	297.060436830377	329.740726361935	183.510441261036	260.917457136901	426.895639027746	274.096340055926	113.625387122832
ANN00007-RA	0.991589445746911	0	0.453953227787036	0.519976575032719	0.195241875691291	0	0	0
ANN00008-RA	4.31576113668914	0.29124546712794	2.72207941104418	0.129424525827269	0	0.251339111369662	2.06512293359386	339.57086320318
ANN00009-RA	0	0	0	0	0	0	0	0
ANN00010-RA	737.187066886184	764.95215266791	1892.29702809752	735.806583221969	810.664219907583	884.74896528552	2437.40658825997	7693.89658805352
ANN00011-RA	40.2276323016091	20.7271279501025	27.117961581176	49.1437451456909	41.1918479242162	155.148140478567	52.1573581963707	176.008847262634
ANN00012-RA	10.0306778348306	6.17581595724065	4.98654718281012	3.31764520530996	6.38480381358012	0	0	8.47504966242679
ANN00013-RA	77.5490666972049	99.828829359293	81.3718307299303	101.950538640417	115.203359151166	117.500140306358	192.986992769893	3582.33218092063
ANN00014-RA	5.8656574510253	8.62303660984298	9.78244659902415	0.441094326193824	6.81992786162168	1.99089925987568	20.0129271499749	0
ANN00015-RA	1.95356948086779	5.09089873118708	124.415251782056	9.45290897110841	24.5309291370462	0	0	10.2076269866494
ANN00016-RA	0.627824969276567	0.57523344504355	0	0.49195222077234	0	1.9775643298815	0	0
ANN00017-RA	0	0	0	0	0	0	0	0
ANN00018-RA	3.10997952907039	265.66098145883	4.61943436065768	80.1243252155344	14.33295261734	0	4.17582532751323	0
ANN00019-RA	266.149555911031	264.908348856587	99.950542156554	354.960218855079	282.619475879452	973.474047952549	146.542342117061	13.5736052256328
ANN00020-RA	16.2997217714294	1.46335734302344	9.44745682991879	7.62623827398074	6.68582397592366	0	3.09653828019364	0
ANN00021-RA	2967.97078878779	1682.11889703084	2615.90981216999	2571.84113062601	1877.69487069849	1537.04941467107	1996.4504828268	215.051453902873
ANN00022-RA	126.451360860428	108.907292638895	236.227199036502	96.5956454548588	152.326025660532	122.494143150673	81.1511097561538	73.3127645247866
ANN00023-RA	2896.53751275138	2971.68290374408	3053.6573386977	3289.74142798742	4135.71462591669	4283.36745357561	2369.24621989125	245.870201161102
ANN00024-RA	929.926307516616	1340.79972652651	1064.90516741882	1428.01756787071	1133.1934203223	1199.55935504289	509.813509755773	406.953322068643
ANN00025-RA	4.60797913056719	19.9862277327376	35.9546319188957	10.7440749165795	17.9836963802238	0	9.2078006873254	10.1713616905705
ANN00026-RA	0	316.920407766177	1097.67774389849	24.2864511555433	434.653000528318	0	0	0
ANN00027-RA	424.067962893044	571.422518575431	439.739780303114	453.626591021282	549.300784991453	639.013071091414	583.347443989205	444.870525218415
ANN00028-RA	0	0	0	0	0	0	0	0
